Timestamp,Name,CPU,Memory
2024-11-06 12:23:47,minikube,9.77%,60.14%
2024-11-06 12:23:47,me-load_balancer-1,0.16%,0.82%
2024-11-06 12:23:47,me-blog-1,0.00%,14.05%
2024-11-06 12:23:59,minikube,9.80%,60.15%
2024-11-06 12:23:59,me-load_balancer-1,0.17%,0.82%
2024-11-06 12:23:59,me-blog-1,0.00%,14.05%
2024-11-06 12:24:10,minikube,9.43%,60.21%
2024-11-06 12:24:10,me-load_balancer-1,0.10%,0.82%
2024-11-06 12:24:10,me-blog-1,0.00%,14.05%
2024-11-06 12:24:22,minikube,10.66%,60.24%
2024-11-06 12:24:22,me-load_balancer-1,0.20%,0.82%
2024-11-06 12:24:22,me-blog-1,0.00%,14.05%
2024-11-06 12:24:33,minikube,13.60%,60.21%
2024-11-06 12:24:33,me-load_balancer-1,0.11%,0.82%
2024-11-06 12:24:33,me-blog-1,0.01%,14.05%
2024-11-06 12:24:45,minikube,13.63%,60.24%
2024-11-06 12:24:45,me-load_balancer-1,0.19%,0.82%
2024-11-06 12:24:45,me-blog-1,0.00%,14.05%
2024-11-06 12:24:58,minikube,12.59%,60.25%
2024-11-06 12:24:58,me-load_balancer-1,0.13%,0.82%
2024-11-06 12:24:58,me-blog-1,0.01%,14.05%
2024-11-06 12:25:10,minikube,15.69%,60.37%
2024-11-06 12:25:10,me-load_balancer-1,0.21%,0.82%
2024-11-06 12:25:10,me-blog-1,0.01%,14.05%
